Data;INPC_TxCambioEfetivaReal
01/01/2002;110,31
01/02/2002;109,65
01/03/2002;105,41
01/04/2002;104,18
01/05/2002;111,73
01/06/2002;123,19
01/07/2002;135,02
01/08/2002;140,7
01/09/2002;149,98
01/10/2002;168,05
01/11/2002;154,94
01/12/2002;154,46
01/01/2003;145,08
01/02/2003;155,75
01/03/2003;148,41
01/04/2003;133,59
01/05/2003;128,15
01/06/2003;125,4
01/07/2003;124,56
01/08/2003;128,28
01/09/2003;125,11
01/10/2003;124,42
01/11/2003;126,06
01/12/2003;128,25
01/01/2004;126,11
01/02/2004;132,95
01/03/2004;130,67
01/04/2004;130,23
01/05/2004;137,57
01/06/2004;139,34
01/07/2004;135,03
01/08/2004;132,63
01/09/2004;127,9
01/10/2004;127,67
01/11/2004;126,1
01/12/2004;123,98
01/01/2005;121,2
01/02/2005;117,49
01/03/2005;122,48
01/04/2005;115,56
01/05/2005;108,86
01/06/2005;105,75
01/07/2005;104,05
01/08/2005;104,67
01/09/2005;102,12
01/10/2005;99,21
01/11/2005;95,61
01/12/2005;99,19
01/01/2006;99,19
01/02/2006;94,18
01/03/2006;94,19
01/04/2006;94,13
01/05/2006;98,24
01/06/2006;101,09
01/07/2006;98,97
01/08/2006;98,13
01/09/2006;98,13
01/10/2006;96,61
01/11/2006;97,4
01/12/2006;97,92
01/01/2007;96,46
01/02/2007;94,5
01/03/2007;94,73
01/04/2007;93,19
01/05/2007;91,14
01/06/2007;88,77
01/07/2007;87,45
01/08/2007;90,7
01/09/2007;88,35
01/10/2007;84,65
01/11/2007;84,62
01/12/2007;84,89
01/01/2008;84,31
01/02/2008;83,5
01/03/2008;84,42
01/04/2008;84
01/05/2008;82,06
01/06/2008;79,97
01/07/2008;78,9
01/08/2008;78,46
01/09/2008;85,43
01/10/2008;97,7
01/11/2008;98,09
01/12/2008;104,44
01/01/2009;98,57
01/02/2009;97,07
01/03/2009;94,97
01/04/2009;92,95
01/05/2009;87,5
01/06/2009;84,98
01/07/2009;84,03
01/08/2009;80,65
01/09/2009;80
01/10/2009;77,14
01/11/2009;77,27
01/12/2009;77,96
01/01/2010;77,6
01/02/2010;79,55
01/03/2010;76,69
01/04/2010;75,04
01/05/2010;75,52
01/06/2010;74,37
01/07/2010;74,46
01/08/2010;74,92
01/09/2010;73,62
01/10/2010;73,13
01/11/2010;73,53
01/12/2010;71,6
01/01/2011;71
01/02/2011;72,62
01/03/2011;72,82
01/04/2011;70,35
01/05/2011;71,46
01/06/2011;70,41
01/07/2011;69,92
01/08/2011;71,5
01/09/2011;76,13
01/10/2011;76,31
01/11/2011;76,13
01/12/2011;77,41
01/01/2012;74,87
01/02/2012;73,64
01/03/2012;77,13
01/04/2012;79,19
01/05/2012;83,35
01/06/2012;84,63
01/07/2012;83,59
01/08/2012;84,48
01/09/2012;85,14
01/10/2012;84,78
01/11/2012;85,45
01/12/2012;85,98
01/01/2013;83,51
01/02/2013;81,23
01/03/2013;80,53
01/04/2013;80,81
01/05/2013;81,84
01/06/2013;87,51
01/07/2013;90,81
01/08/2013;95,37
01/09/2013;92,27
01/10/2013;88,99
01/11/2013;92,15
01/12/2013;93,45
01/01/2014;93,11
01/02/2014;92,31
01/03/2014;89,44
01/04/2014;85,39
01/05/2014;84,57
01/06/2014;84,83
01/07/2014;85,15
01/08/2014;86,46
01/09/2014;87,32
01/10/2014;90,57
01/11/2014;92,59
01/12/2014;94,37
01/01/2015;90,92
01/02/2015;96,27
01/03/2015;104,06
01/04/2015;100,88
01/05/2015;101,07
01/06/2015;102
01/07/2015;105,2
01/08/2015;113,38
01/09/2015;125,61
01/10/2015;123,85
01/11/2015;118,38
01/12/2015;118,58
01/01/2016;118,83
01/02/2016;116,48
01/03/2016;109,08
01/04/2016;106,52
01/05/2016;104,99
01/06/2016;101,2
01/07/2016;95,95
01/08/2016;94,74
01/09/2016;95,64
01/10/2016;92,68
01/11/2016;95,58
01/12/2016;94,48
01/01/2017;90,12
01/02/2017;88,66
01/03/2017;89,2
01/04/2017;90,36
01/05/2017;92,63
01/06/2017;96,17
01/07/2017;94,51
01/08/2017;94,63
01/09/2017;94,95
01/10/2017;95,38
01/11/2017;97,39
01/12/2017;98,66
01/01/2018;97,24
01/02/2018;99,73
01/03/2018;100,42
01/04/2018;104,52
01/05/2018;107,67
01/06/2018;108,32
01/07/2018;109,38
01/08/2018;111,21
01/09/2018;113,86
01/10/2018;104,13
01/11/2018;104,56
01/12/2018;107,25
01/01/2019;104
01/02/2019;103,35
01/03/2019;105,41
01/04/2019;106,55
01/05/2019;108,23
01/06/2019;105,31
01/07/2019;104,66
01/08/2019;108,24
01/09/2019;110,21
01/10/2019;109,76
01/11/2019;111,11
01/12/2019;109,37
01/01/2020;110,76
01/02/2020;115,61
01/03/2020;128,23
01/04/2020;137,96
01/05/2020;146,25
01/06/2020;136,12
01/07/2020;140,59
01/08/2020;147,36
01/09/2020;144,65
01/10/2020;149,85
01/11/2020;144,07
01/12/2020;136,73
01/01/2021;142,53
01/02/2021;144,1
01/03/2021;147,94
01/04/2021;146,4
01/05/2021;139,58
01/06/2021;132,36
01/07/2021;134,66
01/08/2021;136,39
01/09/2021;135,43
01/10/2021;140,67
01/11/2021;139,61
01/12/2021;141,11
01/01/2022;137,95
01/02/2022;130
01/03/2022;122,77
01/04/2022;115,58
01/05/2022;118,2
01/06/2022;120,08
01/07/2022;128,29
01/08/2022;123,87
01/09/2022;124,25
01/10/2022;122,74
01/11/2022;123,99
01/12/2022;124,89
01/01/2023;125,73
01/02/2023;124,37
01/03/2023;123,76
01/04/2023;119,52
01/05/2023;117,14
01/06/2023;113,16
01/07/2023;113,84
01/08/2023;115,15
01/09/2023;114,48
01/10/2023;116,43
01/11/2023;114,02
01/12/2023;112,13
01/01/2024;110,57
01/02/2024;112,4
01/03/2024;112,86
01/04/2024;115,9
01/05/2024;115,97
01/06/2024;121,04
01/07/2024;126,34
01/08/2024;129,08
01/09/2024;128,4
01/10/2024;127,92
01/11/2024;129,19
01/12/2024;133,95
01/01/2025;131,32
01/02/2025;125,43
01/03/2025;125,61
01/04/2025;126,27
01/05/2025;124,28
01/06/2025;122,26
01/07/2025;123,16
