Data;PIM
01/01/2002;91,81948
01/02/2002;94,25008
01/03/2002;93,30744
01/04/2002;93,52224
01/05/2002;93,42351
01/06/2002;93,78744
01/07/2002;94,07775
01/08/2002;93,37988
01/09/2002;93,59848
01/10/2002;94,05541
01/11/2002;94,00991
01/12/2002;93,88295
01/01/2003;93,66226
01/02/2003;93,41762
01/03/2003;93,38843
01/04/2003;92,97112
01/05/2003;91,58539
01/06/2003;92,30174
01/07/2003;91,35046
01/08/2003;92,51704
01/09/2003;95,34765
01/10/2003;95,7713
01/11/2003;97,01762
01/12/2003;95,42469
01/01/2004;97,48463
01/02/2004;98,86068
01/03/2004;99,34182
01/04/2004;100,37114
01/05/2004;101,40637
01/06/2004;101,46799
01/07/2004;102,41066
01/08/2004;103,16406
01/09/2004;103,78508
01/10/2004;103,10374
01/11/2004;103,11808
01/12/2004;103,67628
01/01/2005;104,40249
01/02/2005;102,87817
01/03/2005;103,79426
01/04/2005;103,47658
01/05/2005;107,07359
01/06/2005;104,6443
01/07/2005;104,09386
01/08/2005;104,25368
01/09/2005;103,55897
01/10/2005;103,09403
01/11/2005;103,87798
01/12/2005;106,04882
01/01/2006;105,96402
01/02/2006;107,04695
01/03/2006;106,06378
01/04/2006;106,93219
01/05/2006;107,33518
01/06/2006;106,25849
01/07/2006;107,11703
01/08/2006;106,86935
01/09/2006;105,92303
01/10/2006;106,34076
01/11/2006;107,86082
01/12/2006;108,5483
01/01/2007;108,26311
01/02/2007;109,76125
01/03/2007;111,26574
01/04/2007;112,33145
01/05/2007;112,58821
01/06/2007;113,47059
01/07/2007;112,80368
01/08/2007;114,53574
01/09/2007;113,93412
01/10/2007;116,55513
01/11/2007;115,40735
01/12/2007;115,5552
01/01/2008;117,55151
01/02/2008;117,06281
01/03/2008;117,85824
01/04/2008;117,54695
01/05/2008;118,66883
01/06/2008;119,87383
01/07/2008;120,51995
01/08/2008;118,99263
01/09/2008;120,97526
01/10/2008;116,835
01/11/2008;110,38484
01/12/2008;98,18006
01/01/2009;100,45559
01/02/2009;102,50795
01/03/2009;102,68685
01/04/2009;104,40007
01/05/2009;105,6155
01/06/2009;106,99452
01/07/2009;108,22032
01/08/2009;110,26934
01/09/2009;111,82099
01/10/2009;114,25028
01/11/2009;115,78287
01/12/2009;116,39767
01/01/2010;117,63005
01/02/2010;117,33511
01/03/2010;120,05149
01/04/2010;120,6635
01/05/2010;120,59908
01/06/2010;119,70165
01/07/2010;119,05511
01/08/2010;118,44104
01/09/2010;118,6874
01/10/2010;118,33958
01/11/2010;119,24193
01/12/2010;120,25429
01/01/2011;120,27832
01/02/2011;121,44159
01/03/2011;122,43134
01/04/2011;119,05126
01/05/2011;122,89089
01/06/2011;120,32167
01/07/2011;120,02075
01/08/2011;119,01635
01/09/2011;116,89709
01/10/2011;115,89331
01/11/2011;115,92217
01/12/2011;120,56284
01/01/2012;114,24816
01/02/2012;114,60747
01/03/2012;114,54845
01/04/2012;114,24414
01/05/2012;115,01574
01/06/2012;115,36422
01/07/2012;116,98379
01/08/2012;120,21851
01/09/2012;117,72424
01/10/2012;119,09406
01/11/2012;117,99309
01/12/2012;118,45459
01/01/2013;119,80653
01/02/2013;116,22817
01/03/2013;119,1201
01/04/2013;121,41384
01/05/2013;121,11259
01/06/2013;121,20352
01/07/2013;120,50085
01/08/2013;121,22727
01/09/2013;121,4259
01/10/2013;120,20141
01/11/2013;120,23276
01/12/2013;115,76664
01/01/2014;117,62775
01/02/2014;118,41038
01/03/2014;117,76945
01/04/2014;116,54107
01/05/2014;115,41677
01/06/2014;111,39329
01/07/2014;114,46578
01/08/2014;114,53287
01/09/2014;114,84572
01/10/2014;115,21572
01/11/2014;113,53881
01/12/2014;109,6125
01/01/2015;110,24749
01/02/2015;109,03487
01/03/2015;108,23244
01/04/2015;105,91526
01/05/2015;104,73924
01/06/2015;103,91349
01/07/2015;102,0208
01/08/2015;102,41113
01/09/2015;99,81955
01/10/2015;100,56001
01/11/2015;99,12915
01/12/2015;97,63474
01/01/2016;99,06224
01/02/2016;97,44728
01/03/2016;98,32973
01/04/2016;98,29794
01/05/2016;98,28357
01/06/2016;97,07155
01/07/2016;97,5297
01/08/2016;95,61088
01/09/2016;96,94737
01/10/2016;95,58035
01/11/2016;95,73137
01/12/2016;97,51121
01/01/2017;98,00429
01/02/2017;99,107
01/03/2017;97,30917
01/04/2017;97,43628
01/05/2017;97,95361
01/06/2017;99,06798
01/07/2017;99,5906
01/08/2017;99,88649
01/09/2017;100,79819
01/10/2017;101,30197
01/11/2017;101,80032
01/12/2017;104,95769
01/01/2018;102,07516
01/02/2018;101,50605
01/03/2018;102,80086
01/04/2018;102,76385
01/05/2018;89,93236
01/06/2018;103,35507
01/07/2018;102,7932
01/08/2018;102,4331
01/09/2018;100,04732
01/10/2018;100,34981
01/11/2018;100,29679
01/12/2018;99,88628
01/01/2019;99,66389
01/02/2019;101,19052
01/03/2019;100,62481
01/04/2019;102,36453
01/05/2019;101,63079
01/06/2019;100,8013
01/07/2019;99,30683
01/08/2019;100,65853
01/09/2019;100,97823
01/10/2019;103,07742
01/11/2019;100,70871
01/12/2019;99,00747
01/01/2020;101,27225
01/02/2020;101,72173
01/03/2020;92,30583
01/04/2020;71,58781
01/05/2020;79,18866
01/06/2020;88,33989
01/07/2020;96,19464
01/08/2020;100,15062
01/09/2020;103,94009
01/10/2020;105,62914
01/11/2020;106,24698
01/12/2020;105,43756
01/01/2021;105,89467
01/02/2021;104,54044
01/03/2021;101,56367
01/04/2021;99,06718
01/05/2021;100,39005
01/06/2021;100,35455
01/07/2021;98,90535
01/08/2021;98,58142
01/09/2021;98,78293
01/10/2021;98,78627
01/11/2021;98,23375
01/12/2021;99,73764
01/01/2022;100,09445
01/02/2022;100,95009
01/03/2022;99,83297
01/04/2022;100,26572
01/05/2022;100,73539
01/06/2022;100,71707
01/07/2022;101,2369
01/08/2022;99,93068
01/09/2022;98,65796
01/10/2022;98,80803
01/11/2022;99,90261
01/12/2022;99,82408
01/01/2023;99,06247
01/02/2023;98,61564
01/03/2023;99,51631
01/04/2023;98,90159
01/05/2023;99,49953
01/06/2023;98,83184
01/07/2023;98,24514
01/08/2023;99,55327
01/09/2023;98,48206
01/10/2023;98,97527
01/11/2023;99,48217
01/12/2023;100,00527
01/01/2024;100,16277
01/02/2024;100,80612
01/03/2024;101,0561
01/04/2024;101,74477
01/05/2024;99,55933
01/06/2024;104,46937
01/07/2024;103,10058
01/08/2024;102,5139
01/09/2024;104,05065
01/10/2024;104,69693
01/11/2024;103,23032
01/12/2024;102,11664
01/01/2025;103,12436
01/02/2025;102,61826
01/03/2025;103,65459
01/04/2025;102,73548
01/05/2025;102,18459
01/06/2025;102,28125
01/07/2025;102,14296
